"total,meaning,detail_meaning,domain,score_hint"
"1,เริ่มต้นใหม่ มีความเป็นผู้นำ,""เหมาะกับผู้บริหาร นักคิด นักพัฒนา กล้าคิดกล้าทำ"",leadership,8"
"2,อ่อนโยน นุ่มนวล,""เหมาะกับงานบริการ งานสังคม ความงาม การดูแล"",love,7"
"3,พลังแห่งความคิดสร้างสรรค์,""เด่นด้านศิลปะ การตลาด การพูด"",creativity,8"
"4,สื่อสารเก่ง เจรจาดี,""เหมาะกับงานขาย ประชาสัมพันธ์ สื่อสารทุกแขนง"",communication,8"
"5,นักวางแผน รอบคอบ,""เด่นด้านการบริหาร คิดเป็นระบบ มองการณ์ไกล"",planning,8"
"6,เสน่ห์ดี รักอบอุ่น,""เหมาะกับงานบริการ ศิลปะ และความสัมพันธ์"",love,9"
"7,อดทน ขยัน,""เหมาะกับงานที่ต้องใช้ความมั่นคงต่อเนื่อง เช่นราชการ วิศวกรรม"",career,7"
"8,มุ่งมั่น มีพลัง,""เหมาะกับงานอิสระ งานขาย นักธุรกิจ"",success,8"
"9,มีสติ ปัญญาดี,""มีโชคเรื่องการเรียน การต่างประเทศ และเทคโนโลยี"",wisdom,8"
"10,ไม่แน่นอน ควรใช้ความระวัง,""มีพลังแต่ควรใช้ให้ถูกทาง ไม่เหมาะกับคนใจร้อน"",neutral,5"
"11,มีอิทธิพล เป็นผู้นำ,""คนรอบข้างนับถือ คำพูดมีพลัง"",leadership,9"
"22,ละเอียดรอบคอบ,""เหมาะกับงานวิเคราะห์ บัญชี การเงิน การสื่อสาร"",logic,8"
"23,พลังงานบวก อารมณ์ดี,""เหมาะกับคนค้าขาย เจรจา ธุรกิจขนาดเล็ก"",energy,8"
"24,มีเสน่ห์ เงินหมุนดี,""เหมาะกับงานที่ต้องพบผู้คน เช่นขายตรง หรือบริการ"",love,9"
"25,หัวไว ฉลาด,""มีความรู้ความสามารถ ทำงานได้หลายด้าน"",intellect,9"
"26,วางแผนดี มีโชค,""เหมาะกับงานบริหาร การเงิน การตลาด"",career,8"
"27,มีอุปสรรค เหนื่อยง่าย,""เหมาะกับคนใจแข็ง ต้องต่อสู้เพื่อสำเร็จ"",fighter,5"
"28,มุ่งมั่น แต่อาจเร่งเกินไป,""ควบคุมอารมณ์ให้ดีจะสำเร็จแน่นอน"",determination,6"
"29,โชคดี มีเสน่ห์,""มีคนอุปถัมภ์ ช่วยเหลือการงาน การเงินดี"",luck,9"
"36,สมดุลชีวิต การเงินดี,""เหมาะกับนักธุรกิจ ทำงานเป็นระบบ ใจเย็น รอบคอบ มีโชคด้านการเงิน"",money,9"
"44,สื่อสารดี มีความคิดสร้างสรรค์,""เหมาะกับงานพูด การตลาด สื่อสาร มีไอเดียดี คิดเร็วทำเร็ว"",communication,8"
"45,มั่นคง เหมาะกับผู้บริหาร,""มีเหตุผล รอบคอบ เป็นที่รักของผู้ใหญ่"",career,8"
"46,อบอุ่น น่ารัก,""เหมาะกับงานด้านความสัมพันธ์ งานบริการ งานสุขภาพ"",love,9"
"47,ขยันแต่เหนื่อย,""เหมาะกับคนอดทน มีวินัย ต้องการความสำเร็จระยะยาว"",career,7"
"48,มีพลังในการสร้างสรรค์,""เหมาะกับงานศิลปะ คิดงานโฆษณา หรือออกแบบ"",creative,8"
"49,เก่ง คิดไว,""มีไอเดียดี แต่ควรพักผ่อนบ้าง"",intellect,8"
"50,ควบคุมอารมณ์ไม่ดี,""เหมาะกับคนใจเย็น ถ้าทำได้จะพัฒนาไว"",neutral,5"
"51,เฉลียวฉลาด เจรจาดี,""เด่นเรื่องการสื่อสาร และวางแผนงาน"",communication,9"
"52,มีไอเดีย แต่อ่อนไหว,""เหมาะกับงานคิดสร้างสรรค์ แต่ควรระวังความเครียด"",creative,7"
"56,การเงินเด่น มีโชค,""เหมาะกับงานขาย ธุรกิจส่วนตัว มีรายได้ต่อเนื่อง"",money,9"
"63,เสน่ห์ดี การเงินเด่น,""มีผู้สนับสนุน เสริมความมั่นคงด้านความรักและการเงิน"",love,9"
"64,มีสติ มีเหตุผล,""เหมาะกับคนทำงานที่ต้องใช้การวิเคราะห์ การตัดสินใจ"",logic,8"
"65,โชคลาภ ความมั่นคง,""เหมาะกับงานลงทุน หรือการเงิน"",money,9"
"66,ความรักอบอุ่น โชคลาภดี,""เหมาะกับคนอารมณ์ดี รักครอบครัว"",love,9"
"67,สำเร็จตามเป้าหมาย,""ทำงานหนักแต่มีผลตอบแทนดี"",success,8"
"68,ตัดสินใจไว บางครั้งใจร้อน,""เหมาะกับงานที่ต้องแข่งขันสูง"",energy,7"
"69,ความคิดลึกซึ้ง,""เหมาะกับงานเทคโนโลยี วิจัย การศึกษา"",wisdom,8"
"70,ไม่แน่นอน,""ชีวิตเปลี่ยนแปลงง่าย ควรใช้สติในการตัดสินใจ"",neutral,5"
"71,มั่นใจในตัวเองสูง,""เหมาะกับงานที่ต้องนำเสนอ หรือขายตรง"",career,8"
"72,ขัดแย้งในใจ,""ต้องจัดการอารมณ์ให้ดี จะประสบความสำเร็จ"",neutral,6"
"73,มีวิสัยทัศน์,""เหมาะกับผู้นำ นักวางแผน นักกลยุทธ์"",leadership,9"
"74,มีเหตุผล เด็ดขาด,""เหมาะกับงานบริหาร งานด้านกฎหมาย"",logic,8"
"75,มั่นคงและมีวินัย,""เหมาะกับงานราชการ วิศวกรรม การเงิน"",career,8"
"76,เด็ดเดี่ยว มีพลัง,""เหมาะกับงานที่ต้องตัดสินใจเร็ว เช่นธุรกิจ"",success,8"
"77,เหนื่อย อุปสรรคเยอะ,""ควรพักผ่อนและวางแผนดีๆ"",fighter,5"
"78,ฉลาดและกล้า,""เหมาะกับงานอิสระ ค้าขาย หัวไวทันเกม"",energy,8"
"79,ต้องต่อสู้เยอะ,""เหมาะกับคนไม่ยอมแพ้"",fighter,6"
"81,เป็นผู้นำที่มีเสน่ห์,""เหมาะกับคนทำงานองค์กร หัวหน้า ทีมบริหาร"",leadership,9"
"88,โชคลาภ ความมั่งคั่ง,""เหมาะกับงานการเงิน ลงทุน หรืออสังหา"",wealth,9"
"89,มีอำนาจบารมี,""เหมาะกับผู้บริหาร เจ้าของกิจการ"",power,9"
"91,มั่นคง โชคลาภ,""เหมาะกับคนทำงานระยะยาว มีเป้าหมายชัดเจน"",fortune,9"
"95,มีเสน่ห์ และโอกาสทางการเงิน,""เหมาะกับงานด้านธุรกิจ การลงทุน"",money,9"
"99,ประสบความสำเร็จสูงสุด,""เหมาะกับคนมีวิสัยทัศน์ ก้าวหน้าในชีวิต"",ultimate,10"